address,amount,raw_amount
0x431e81E5dfB5A24541b5Ff8762bDEF3f32F96354,31931020.180494476,31931020180494474931136485
0x52Ad87832400485DE7E7dC965D8Ad890f4e82699,5427433.575912806,5427433575912806393646255
0xeDf54bC005bc2Df0Cc6A675596e843D28b16A966,4332834.674094185,4332834674094185495472995
0x39415255619783A2E71fcF7d8f708A951d92e1b6,3219982.863950393,3219982863950393168181021
0x274d9E726844AB52E351e8F1272e7fc3f58B7E5F,2694437.8810292115,2694437881029211644584715
0x8E949B62a177452f5B327B539eAA63802a3ab6A4,2076040.689387743,2076040689387742903933576
0xF3E1dB5EA7E719c71Bb9b9fBc125446788E1462B,1970707.6425498775,1970707642549877571978278
0x198ad6C547D20d70f2F656a4F48e6c7cfb7B4325,1898244.8195148252,1898244819514825266952414
0x48B72465FeD54964a9a0bb2FB95DBc89571604eC,1771218.0313157209,1771218031315720893491399
0xaCDa5179B818563F620b156135922DB9C81351B3,1764239.9121456963,1764239912145696410787678
0x97CA371D59BBfefdb391AA6DcBDF4455fEc361f2,1738406.7741804693,1738406774180469300266704
0xfbd50C82Ea05d0D8b6B302317880060Bc3086866,1577748.999288452,1577748999288452062884676
0xa5f7a39E55D7878bC5bd754eE5d6BD7a7662355b,1324345.8497756345,1324345849775634584683590
0xfaC2F11ba2577D5122DC1EC5301d35B16688251E,1304090.1206428527,1304090120642852813807374
0x2ce5f9f52C1eec9a1183f91139C59b485Ff39dAd,1148506.2805915666,1148506280591566570690683
0x0006e4548AED4502ec8c844567840Ce6eF1013f5,1101873.0531084111,1101873053108411033113394
0xa5eA1c83f139fc90bcfaff146FE8b1995ef0D11c,1068843.9807984922,1068843980798492249458480
0xD85A7A3C5F08E3E709c233E133cE1335fBbF5518,1017951.224906907,1017951224906906893546342
0xE1Ad30971b83c17E2A24c0334CB45f808AbEBc87,1008104.4056307031,1008104405630703094567222
0xD110f08Ffb93DD72cc5D3509cDA82dB4F97f4E58,980160.4096981192,980160409698119177705654
